feature_type,model,with_hypertuning,best_params,accuracy,sensitivity,specificity,precision,f1,mcc,index
selected_features_all_best20,LogisticRegression,False,None,0.8616300053650686,0.8326530612244898,0.8505747126436781,0.8395061728395061,0.8360655737704918,0.6834201782014296,selected_features_all_best20_LogisticRegression_no_hypertuning
selected_features_all_best20,SVC,False,None,0.884355947910062,0.8163265306122449,0.9157088122605364,0.9009009009009009,0.8565310492505354,0.7372243785234922,selected_features_all_best20_SVC_no_hypertuning
selected_features_all_best20,XGBClassifier,False,None,0.8655635760620397,0.8408163265306122,0.9080459770114943,0.8956521739130435,0.8673684210526316,0.751600060348227,selected_features_all_best20_XGBClassifier_no_hypertuning
selected_features_all_best20,LGBMClassifier,False,None,0.8709993659464468,0.8326530612244898,0.9195402298850575,0.9066666666666666,0.8680851063829788,0.7564641177168221,selected_features_all_best20_LGBMClassifier_no_hypertuning
selected_features_all_best20,LogisticRegression,True,"{'C': 0.05772645471274076, 'penalty': 'l1', 'solver': 'liblinear', 'max_iter': 445}",0.8636363636363636,0.8571428571428571,0.8697318007662835,0.860655737704918,0.8588957055214723,0.7269712982529347,selected_features_all_best20_LogisticRegression_with_hypertuning
selected_features_all_best20,SVC,True,"{'svc_c': 95.94113392322917, 'svc_gamma': 0.23308824330559652}",0.83399209486166,0.7959183673469388,0.8697318007662835,0.851528384279476,0.8227848101265821,0.668331169556365,selected_features_all_best20_SVC_with_hypertuning
selected_features_all_best20,XGBClassifier,True,"{'learning_rate': 0.2530441854025399, 'max_depth': 6, 'n_estimators': 786}",0.8814229249011858,0.8285714285714286,0.9310344827586207,0.918552036199095,0.871244635193133,0.7653728717338572,selected_features_all_best20_XGBClassifier_with_hypertuning
selected_features_all_best20,LGBMClassifier,True,"{'num_leaves': 139, 'max_depth': 18, 'learning_rate': 0.20546953893784983, 'n_estimators': 633}",0.8794466403162056,0.8285714285714286,0.9272030651340997,0.9144144144144144,0.8693790149892935,0.7611318044281848,selected_features_all_best20_LGBMClassifier_with_hypertuning
selected_features_all_best30,LogisticRegression,False,None,0.8898112471345657,0.8571428571428571,0.9195402298850575,0.9090909090909091,0.8823529411764706,0.7792464045147061,selected_features_all_best30_LogisticRegression_no_hypertuning
selected_features_all_best30,SVC,False,None,0.8922596693166854,0.8408163265306122,0.9348659003831418,0.9237668161434978,0.8803418803418804,0.7808030249796356,selected_features_all_best30_SVC_no_hypertuning
selected_features_all_best30,XGBClassifier,False,None,0.8784299858557285,0.8489795918367347,0.9195402298850575,0.9082969432314411,0.8776371308016878,0.7716151454365898,selected_features_all_best30_XGBClassifier_no_hypertuning
selected_features_all_best30,LGBMClassifier,False,None,0.8764571038384628,0.8571428571428571,0.896551724137931,0.8860759493670886,0.8713692946058091,0.7548286500371715,selected_features_all_best30_LGBMClassifier_no_hypertuning
selected_features_all_best30,LogisticRegression,True,"{'C': 0.0722445950942323, 'penalty': 'l2', 'solver': 'saga', 'max_iter': 1000}",0.8913043478260869,0.8653061224489796,0.9157088122605364,0.905982905982906,0.8851774530271399,0.7828350348329586,selected_features_all_best30_LogisticRegression_with_hypertuning
selected_features_all_best30,SVC,True,"{'svc_c': 91.89133569306787, 'svc_gamma': 0.03375857107899616}",0.8537549407114624,0.8204081632653061,0.8850574712643678,0.8701298701298701,0.8445378151260504,0.707793910280135,selected_features_all_best30_SVC_with_hypertuning
selected_features_all_best30,XGBClassifier,True,"{'learning_rate': 0.05933139707386613, 'max_depth': 4, 'n_estimators': 540}",0.9011857707509882,0.8653061224489796,0.9348659003831418,0.925764192139738,0.8945147679324894,0.8033948303228128,selected_features_all_best30_XGBClassifier_with_hypertuning
selected_features_all_best30,LGBMClassifier,True,"{'num_leaves': 141, 'max_depth': 11, 'learning_rate': 0.25414532320145833, 'n_estimators': 187}",0.8972332015810277,0.8489795918367347,0.9425287356321839,0.9327354260089686,0.888888888888889,0.7967336042276224,selected_features_all_best30_LGBMClassifier_with_hypertuning
selected_features_all_best50,LogisticRegression,False,None,0.9011681217382822,0.8530612244897959,0.9157088122605364,0.9047619047619048,0.8781512605042017,0.7713072384886426,selected_features_all_best50_LogisticRegression_no_hypertuning
selected_features_all_best50,SVC,False,None,0.9001804613958934,0.8285714285714286,0.9425287356321839,0.9311926605504587,0.8768898488120951,0.7781970869747354,selected_features_all_best50_SVC_no_hypertuning
selected_features_all_best50,XGBClassifier,False,None,0.8898112471345657,0.8448979591836735,0.9233716475095786,0.9118942731277533,0.8771186440677965,0.77197265715773,selected_features_all_best50_XGBClassifier_no_hypertuning
selected_features_all_best50,LGBMClassifier,False,None,0.8888065161195924,0.8408163265306122,0.9233716475095786,0.911504424778761,0.8747346072186836,0.768192848110167,selected_features_all_best50_LGBMClassifier_no_hypertuning
selected_features_all_best50,LogisticRegression,True,"{'C': 0.024422805336610946, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 670}",0.8893280632411067,0.8571428571428571,0.9195402298850575,0.9090909090909091,0.8823529411764706,0.7792464045147061,selected_features_all_best50_LogisticRegression_with_hypertuning
selected_features_all_best50,SVC,True,"{'svc_c': 14.99270459807389, 'svc_gamma': 0.07611819884796}",0.8735177865612648,0.8040816326530612,0.9386973180076629,0.9248826291079812,0.8602620087336245,0.7518639671346329,selected_features_all_best50_SVC_with_hypertuning
selected_features_all_best50,XGBClassifier,True,"{'learning_rate': 0.049433721318135074, 'max_depth': 3, 'n_estimators': 927}",0.8932806324110671,0.8448979591836735,0.9386973180076629,0.9282511210762332,0.8846153846153846,0.7887683146036291,selected_features_all_best50_XGBClassifier_with_hypertuning
selected_features_all_best50,LGBMClassifier,True,"{'num_leaves': 77, 'max_depth': 41, 'learning_rate': 0.2037385131573073, 'n_estimators': 538}",0.8952569169960475,0.8489795918367347,0.9386973180076629,0.9285714285714286,0.8869936034115139,0.7925065260087802,selected_features_all_best50_LGBMClassifier_with_hypertuning
selected_features_all_best100,LogisticRegression,False,None,0.9011608057357462,0.8693877551020408,0.9233716475095786,0.9141630901287554,0.891213389121339,0.7948504300554674,selected_features_all_best100_LogisticRegression_no_hypertuning
selected_features_all_best100,SVC,False,None,0.8986953128810418,0.8530612244897959,0.9348659003831418,0.9247787610619469,0.8874734607218684,0.7920564085290929,selected_features_all_best100_SVC_no_hypertuning
selected_features_all_best100,XGBClassifier,False,None,0.8893040042920548,0.8489795918367347,0.9310344827586207,0.9203539823008849,0.8832271762208067,0.7841018883894508,selected_features_all_best100_XGBClassifier_no_hypertuning
selected_features_all_best100,LGBMClassifier,False,None,0.892762034824172,0.8448979591836735,0.9272030651340997,0.915929203539823,0.8789808917197452,0.7761473682498089,selected_features_all_best100_LGBMClassifier_no_hypertuning
selected_features_all_best100,LogisticRegression,True,"{'C': 0.09995242748229684, 'penalty': 'l2', 'solver': 'saga', 'max_iter': 312}",0.8972332015810277,0.8693877551020408,0.9233716475095786,0.9141630901287554,0.891213389121339,0.7948504300554674,selected_features_all_best100_LogisticRegression_with_hypertuning
selected_features_all_best100,SVC,True,"{'svc_c': 64.25208237539199, 'svc_gamma': 0.060529061603055156}",0.857707509881423,0.746938775510204,0.9616858237547893,0.9481865284974094,0.8356164383561644,0.7290691083465481,selected_features_all_best100_SVC_with_hypertuning
selected_features_all_best100,XGBClassifier,True,"{'learning_rate': 0.29754822620365323, 'max_depth': 4, 'n_estimators': 926}",0.9051383399209486,0.8612244897959184,0.946360153256705,0.9377777777777778,0.8978723404255319,0.8121699724113683,selected_features_all_best100_XGBClassifier_with_hypertuning
selected_features_all_best100,LGBMClassifier,True,"{'num_leaves': 242, 'max_depth': 5, 'learning_rate': 0.05798877920107935, 'n_estimators': 359}",0.9031620553359684,0.8612244897959184,0.9425287356321839,0.9336283185840708,0.8959660297239915,0.8079654488083768,selected_features_all_best100_LGBMClassifier_with_hypertuning
