id,N,D,C,I,K,P,S,APAAC3,APAAC4,APAAC5,_SolventAccessibilityC3,_ChargeC2,_ChargeC3,_PolarityC2,_NormalizedVDWVC1,_NormalizedVDWVC2,_HydrophobicityC2,_SolventAccessibilityT12,_ChargeT13,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,_PolarizabilityD2001,PAAC4,PAAC5,PAAC10,PAAC12,PAAC15,PAAC16,label
Negative_210,0.429,5.15,2.146,1.288,0.858,11.159,6.438,0.284,3.415,1.423,0.215,0.764,0.124,0.472,0.545,0.318,0.481,0.272,0.03,0.116,0.129,0.078,0.129,0.858,2.612,1.089,0.653,0.435,5.66,3.266,0
Positive_79,3.4,6.028,0.309,4.173,1.236,7.419,7.883,3.388,6.007,0.308,0.3,0.819,0.094,0.457,0.521,0.292,0.507,0.249,0.012,0.161,0.155,0.091,0.125,0.618,3.071,0.157,2.126,0.63,3.78,4.017,1
Positive_202,1.807,7.229,2.41,5.422,15.06,3.614,7.229,1.518,6.072,2.024,0.217,0.663,0.163,0.283,0.38,0.343,0.325,0.248,0.061,0.194,0.218,0.188,0.194,3.012,3.584,1.195,2.688,7.467,1.792,3.584,1
Positive_115,2.505,7.933,0.418,2.296,1.67,6.889,4.593,2.768,8.766,0.462,0.263,0.783,0.125,0.407,0.491,0.271,0.484,0.278,0.025,0.209,0.199,0.14,0.157,0.418,3.808,0.201,1.102,0.802,3.307,2.205,1
Positive_0,5.464,6.421,1.23,5.191,5.191,4.508,6.284,5.822,6.842,1.311,0.255,0.757,0.13,0.288,0.365,0.372,0.347,0.285,0.029,0.193,0.256,0.172,0.219,0.41,3.16,0.605,2.555,2.555,2.219,3.093,1
Positive_58,5.537,7.818,0.651,4.56,9.446,3.909,4.56,3.902,5.51,0.459,0.202,0.707,0.15,0.322,0.407,0.365,0.345,0.268,0.056,0.193,0.212,0.16,0.19,0.977,3.944,0.328,2.3,4.765,1.972,2.3,1
Negative_159,3.409,3.182,0.227,2.273,4.545,26.591,9.545,2.729,2.548,0.182,0.452,0.807,0.064,0.561,0.595,0.209,0.6,0.171,0.023,0.082,0.125,0.1,0.096,0.455,1.75,0.125,1.25,2.499,14.622,5.249,0
Negative_216,2.597,1.299,9.091,0.0,12.987,7.792,3.896,2.266,1.134,7.933,0.299,0.74,0.091,0.364,0.468,0.169,0.468,0.289,0.053,0.132,0.171,0.132,0.158,2.597,0.648,4.538,0.0,6.483,3.89,1.945,0
Negative_64,3.158,2.105,0.789,2.105,5.263,14.737,7.895,1.999,1.332,0.499,0.308,0.787,0.1,0.487,0.516,0.3,0.508,0.214,0.021,0.132,0.164,0.142,0.145,0.789,1.156,0.433,1.156,2.891,8.094,4.336,0
Positive_33,2.528,3.793,1.264,3.287,3.413,5.815,7.459,2.999,4.499,1.499,0.258,0.808,0.099,0.319,0.369,0.375,0.393,0.258,0.025,0.144,0.23,0.18,0.178,0.379,1.91,0.637,1.655,1.719,2.929,3.757,1
