id,N,D,C,I,K,P,S,APAAC3,APAAC4,APAAC5,_SolventAccessibilityC3,_ChargeC2,_ChargeC3,_PolarityC2,_NormalizedVDWVC1,_NormalizedVDWVC2,_HydrophobicityC2,_SolventAccessibilityT12,_ChargeT13,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,_PolarizabilityD2001,PAAC4,PAAC5,PAAC10,PAAC12,PAAC15,PAAC16,label
Positive_17,3.866,3.866,4.639,7.99,3.093,4.639,6.701,2.061,2.061,2.473,0.265,0.853,0.07,0.294,0.379,0.379,0.351,0.183,0.021,0.103,0.178,0.183,0.15,1.031,2.091,2.509,4.322,1.673,2.509,3.625,1
Positive_939,4.691,4.371,1.279,5.65,5.757,4.158,7.783,3.413,3.18,0.931,0.259,0.771,0.107,0.318,0.374,0.361,0.369,0.238,0.035,0.146,0.207,0.185,0.174,0.64,2.199,0.644,2.843,2.897,2.092,3.916,1
Negative_794,4.023,4.31,3.736,4.598,5.747,5.172,5.172,4.595,4.923,4.267,0.233,0.764,0.109,0.302,0.382,0.362,0.348,0.254,0.02,0.176,0.216,0.193,0.179,1.437,2.14,1.855,2.283,2.854,2.568,2.568,0
Negative_1238,5.231,4.923,4.0,2.462,4.923,3.385,8.308,6.411,6.033,4.902,0.271,0.803,0.089,0.357,0.446,0.262,0.434,0.231,0.028,0.145,0.213,0.198,0.145,0.615,2.42,1.966,1.21,2.42,1.664,4.084,0
Negative_731,1.0,4.0,3.0,2.0,4.0,9.0,5.0,0.617,2.467,1.85,0.22,0.76,0.12,0.37,0.44,0.33,0.43,0.222,0.01,0.212,0.182,0.111,0.141,4.0,2.02,1.515,1.01,2.02,4.545,2.525,0
Positive_490,3.186,5.139,1.542,7.605,5.036,2.98,6.166,1.748,2.82,0.846,0.234,0.768,0.141,0.306,0.373,0.391,0.357,0.233,0.024,0.19,0.202,0.193,0.159,0.308,2.68,0.804,3.965,2.626,1.554,3.215,1
Negative_88,3.11,3.828,1.914,4.785,3.828,6.459,13.158,2.935,3.613,1.807,0.349,0.823,0.093,0.344,0.402,0.364,0.416,0.194,0.017,0.151,0.216,0.158,0.168,0.718,2.065,1.033,2.582,2.065,3.485,7.099,0
Negative_1014,5.012,4.057,9.069,2.387,5.967,6.205,7.876,4.313,3.491,7.805,0.272,0.773,0.11,0.322,0.453,0.305,0.375,0.251,0.022,0.156,0.232,0.134,0.199,0.716,2.153,4.812,1.267,3.166,3.292,4.179,0
Positive_1194,1.928,4.683,2.479,4.408,5.785,5.785,4.683,2.16,5.247,2.778,0.215,0.738,0.143,0.331,0.402,0.331,0.383,0.301,0.033,0.227,0.265,0.196,0.215,0.826,2.237,1.184,2.105,2.763,2.763,2.237,1
Negative_345,0.613,3.988,2.454,0.613,1.534,4.908,9.509,0.302,1.965,1.209,0.224,0.712,0.132,0.365,0.429,0.337,0.402,0.308,0.015,0.2,0.206,0.132,0.182,0.92,1.847,1.137,0.284,0.71,2.273,4.404,0
